eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,siteNotes,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,latitude_dd,longitude_dd,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_types,hwm_qualities,marker,vertical_datums,approval,event,site,peak_summary,files,horizontal_datums,horizontal_collect_methods,vertical_collect_methods,survey_member,flag_member,Links
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Kelvey Merrill,Skylar McHenry,LATAN16860,11152 Avila Dr.: mailbox marked with flagging. The HWM is marked with sharpie on a strip of flagging on mailbox,,,LA,Tangipahoa Parish,,No,,15187,Natalbany,16860,129,5,1,second fence post from front left corner of house. Marked with nail and green HWM tab. 11156 Audobon Dr. Hammond LA 70403,30.49,-90.54482,8/31/2016 4:00:00 AM,33.345,2,6,Left,,6,2.22,1,,"Job name LA-5-08312016
Point name:LATAN16860a/b
Checked in @: 46BC56
GPS control in EST",Riverine,8/25/2016 4:00:00 AM,0,2,1602,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Skylar McHenry,Skylar McHenry,LATAN16861,Residence off Sterling Dr.,,,LA,Tangipahoa Parish,,No,,15186,Tickfaw,16861,129,5,1,HW marker/flagging tape on post on front of playhouse in back left corner of backyard of residence.,30.48817,-90.59181,8/31/2016 4:00:00 AM,33.303,2,6,N/A,,6,2.38,1,,"Job name LA-5-08312016 
Checked in @: 46BC56
GPS control in EST",Riverine,8/25/2016 4:00:00 AM,0,2,1590,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Arthur Day,Erin Williams,LALIV16863,nail on back side of privacy fence for 27035 Regency Park Dr best accessed from Lewis Vincent Elem School parking lot,,,LA,Livingston Parish,,No,,15189,Amite River (Millers Canal),16863,129,5,1,nail on back side of privacy fence for 27035 Regency Park Dr best accessed from Lewis Vincent Elem School parking lot,30.44751,-90.96066,8/31/2016 5:00:00 AM,39.368,2,6,N/A,,6,1.76,1,,,Riverine,8/24/2016 5:00:00 AM,1,2,1587,1632,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Caleb Miller,Arthur Day,LAEAS16864,Red Brick house on the NE side of Hwy 67,,,LA,East Feliciana Parish,,No,,15190,Comite River,16864,129,5,1,Left side of red brick house on the crawlspace vent.,30.76917,-91.09278,9/4/2016 4:00:00 AM,137.111,2,6,Right,,4,0.7,1,,,Riverine,8/25/2016 4:00:00 AM,0,2,1607,1587,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Kelvey Merrill,Skylar McHenry,LATAN16865,"Left corner of house, marked with sharpie line.",,,LA,Tangipahoa Parish,,No,,15195,Natalbyany,16865,129,5,1,"Left corner of house, marked with a sharpie line, nail and green HWM tab. Flagging attached at nearby tree.",30.48869,-90.54966,8/31/2016 4:00:00 AM,33.256,2,6,N/A,,4,5,1,,"Job name LA-5-08312016
Point name:LATAN16865
Checked in @: 46BC56
GPS control in EST",Riverine,8/25/2016 4:00:00 AM,1,2,1602,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Marker,Handheld GPS,NAD83,Philip Habermehl,Jeffrey Moss,LAEAS16866,STORAGE SHED  BEHIND EAST SIDE FIRE DEPARTMENT  91.,,,LA,East Baton Rouge Parish,,No,,15192,Amite,16866,129,5,1,IN STORAGE SHED  BEHIND EAST SIDE FIRE STATION  #91. IN BAY CLOSEST TO STATION . WHEN LOOKING INTO STORAGE SHED IT IS ON THE WALL ON THE LEFT.,30.45361,-91.01864,8/31/2016 5:00:00 AM,,,,N/A,,4,1.92,1,,"MARK NOTED AS ONE ON FIELD SHEETS.
Abandoned site due to being clustered near other sites.",Riverine,8/25/2016 5:00:00 AM,1,2,1600,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Marker,Handheld GPS,NAD83,Philip Habermehl,Jeffrey Moss,LAEAS16866,STORAGE SHED  BEHIND EAST SIDE FIRE DEPARTMENT  91.,,,LA,East Baton Rouge Parish,,No,,15196,Amite,16866,129,5,1,"WHEN LOOKING AT STORAGE SHED , BAY ON THE LEFT. EAST MOST WALL BEHIND",30.45361,-91.01864,8/31/2016 5:00:00 AM,,,,N/A,,4,1.9,1,,Abandoned site due to being clustered near other sites.,Riverine,8/25/2016 5:00:00 AM,1,2,1600,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Marker,Handheld GPS,NAD83,Christopher Henry,Jeffrey Moss,LALIV16868,Aluminum hand rail at NE corner of South Side elementary school multi purpose building marked with sharpie and orange flagging. Labeled HWM.,,,LA,Livingston Parish,,No,,15199,Amite River,16868,129,5,1,South Side elementary school multi purpose building marked with sharpie and orange flagging. Labeled HWM.,30.468675,-90.958537,9/1/2016 5:00:00 AM,,,,N/A,,4,2.81,1,,Abandoned site. Site is clustered too close to other sites.,Riverine,8/25/2016 5:00:00 AM,1,2,7,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Kelvey Merrill,Skylar McHenry,LATAN16870,43117 Wax Rd. Sharpie mark on front pillar to the right of front door,,,LA,Tangipahoa Parish,,No,,15221,natalbany,16870,129,5,2,Hillside Baptist Church on Old Baton Rouge Highway. When facing church: Right rear corner of main building.  Marked with a nail and white HWM tab.,30.48326,-90.56216,8/31/2016 4:00:00 AM,32.656,2,6,Right,,6,5.49,1,,"Job name LA-5-08312016
Point name:LATAN16870a2/b2
Checked in @: 46BC56
GPS control in EST",Riverine,8/25/2016 4:00:00 AM,0,2,1602,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Kelvey Merrill,Skylar McHenry,LATAN16870,43117 Wax Rd. Sharpie mark on front pillar to the right of front door,,,LA,Tangipahoa Parish,,No,,15223,natalbany,16870,129,5,1,Pillar on the right of front door. marked with sharpie. Flagging at street and pillar.,30.48223,-90.55499,8/31/2016 4:00:00 AM,31.902,2,6,Left,,4,2.09,1,,"Job name LA-5-08312016
Point name:LATAN16870a/b 
Checked in @: 46BC56
GPS control in EST",Riverine,8/25/2016 4:00:00 AM,0,2,1602,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Nail and HWM tag,Handheld GPS,NAD83,Jaysson Funkhouser,Jeffrey Moss,LALIV16871,Chevron gas station at SE corner of Rushing Road East and S. Range Road.,,,LA,Livingston Parish,,No,,15206,Amite,16871,129,5,1,24 inch pine tree 30 feet southeast of the gas station near the SE corner of the lot,30.45639,-90.95569,9/1/2016 5:00:00 AM,,,,N/A,,6,6,1,,Abandoned site. Site is clustered too close to other sites.,Riverine,8/25/2016 5:00:00 AM,1,2,1585,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,local control point,Tape measure,,Nail and HWM tag,Handheld GPS,NAD83,Jaysson Funkhouser,Jeffrey Moss,LALIV16871,Chevron gas station at SE corner of Rushing Road East and S. Range Road.,,,LA,Livingston Parish,,No,,15210,Amite,16871,129,5,1,30 feet east of mark number 08-25-16-001,30.45639,-90.95558,9/1/2016 5:00:00 AM,,1,1,N/A,,6,5.62,1,,Abandoned site. Site is clustered too close to other sites.,Riverine,8/25/2016 5:00:00 AM,1,2,1585,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,,Marker,Handheld GPS,NAD83,Jeffrey Moss,Jeffrey Moss,LAEAS16873,Residential neighborhood on mockingbird lane. HWM is marked by sharpie in the carport of home.,,,LA,East Baton Rouge Parish,,No,,15211,Comite River,16873,129,5,1,On carport wall facing road.,30.4709,-91.00539,8/31/2016 5:00:00 AM,46.074,2,2,N/A,,4,4.62,1,,Used level gun to run level loop to TBM-LAEAS16873.,Riverine,8/25/2016 5:00:00 AM,0,2,1595,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Mud,Good: +/- 0.10 ft,,,,Marker,Handheld GPS,NAD83,Jaysson Funkhouser,Jeffrey Moss,LALIV16874,Harvest Manor Nursing Home at corner of Pete's Highway and Rushing Road,,,LA,Livingston Parish,,No,,15215,Amite,16874,129,1,2,On Column of the SW corner of the NW section of the building,30.46097,-90.94747,9/1/2016 5:00:00 AM,,,,N/A,,4,3.72,1,,Abandoned site. Site is clustered too close to other sites.,Riverine,8/25/2016 5:00:00 AM,0,2,1585,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Robert Forde,Daniel McCay,LALIV16876,Seed line on center carport post marked by top of  nail and a USGS green HWM washer. Pink flagging tape was used around front post.,,,LA,Livingston Parish,,No,,15220,Amite River,16876,129,5,1,Seed line on center carport post marked by top of  nail and a USGS green HWM washer. Pink flagging tape was used around front post.,30.4963,-90.9464,9/3/2016 4:00:00 AM,48.024,2,6,N/A,,6,,1,,Clear weather. First shots off by more than 0.10.  Shot two more that were within 0.10. Job Name: LA-8-09032016. Shot Names: LALIV16876c & LALIV16876d.,Riverine,8/25/2016 4:00:00 AM,0,2,1592,1591,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Stain line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,,Marker,Handheld GPS,NAD83,Arthur Day,Jeffrey Moss,LALIV16878,"Sharpie mark on warehouse located behind Golden Age Nursing home at 26739 4 H Club Rd( LA-1032), Denham Springs, LA 70726. It is located on the corner of the rear warehouse accessed from Springwood Blvd.",,,LA,Livingston Parish,,No,,15219,Amite,16878,129,6,1,,30.45478,-90.97187,9/1/2016 5:00:00 AM,43.711,2,2,N/A,,4,7,1,,Used TBM and levels to determine elevation.,Riverine,8/24/2016 5:00:00 AM,0,2,1587,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Marker,Handheld GPS,local control point,Daniel McCay,Jeffrey Moss,LALIV16879,Southside Junior High School. West wall of cafeteria (back).,,,LA,Livingston Parish,,No,,15222,Amite River,16879,129,5,1,West side of cafeteria. Chain link fence post around AC units. Marked with sharpie and flagged with tape.,30.451769,-90.946529,9/1/2016 5:00:00 AM,,,,N/A,,4,4.48,1,,Abandoned site. Site is clustered too close to other sites.,Riverine,8/25/2016 5:00:00 AM,1,1,1591,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Vegetation line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Caleb Miller,Laura LaPolice,LAEAS16880,Gravel Road (Beaver Creek Road) on Right Bank of Amite River.  Point on tree on the left side of road (East).,,,LA,East Feliciana Parish,,No,,15224,Amite River,16880,129,4,3,"Nail in East side of Gravel road in Tree.  White poka dotted flagging on nail with USGS HWM written on flagging.  Orange Debris line flags used at side of the road to help show the location.  Edge of tree line, not back in the woods.",30.97492,-90.85778,9/2/2016 4:00:00 AM,194.341,2,6,Right,,6,5.28,1,,,Riverine,8/25/2016 4:00:00 AM,0,2,1607,1598,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,,Marker,Handheld GPS,NAD83,Jeffrey Moss,Jeffrey Moss,LAEAS16881,Brick house on corner of Quebec and London St.,,,LA,East Baton Rouge Parish,,No,,15226,Comite River,16881,129,5,1,,30.47886,-91.00417,9/1/2016 5:00:00 AM,46.839,2,2,N/A,,4,4.1,1,,Used TBM-LAEAS16881 and levels to establish elevation.,Riverine,8/25/2016 5:00:00 AM,0,2,1595,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Mud,Good: +/- 0.10 ft,NAVD88,Level Gun,,Marker,Handheld GPS,NAD83,Jaysson Funkhouser,Jeffrey Moss,LALIV16883,Denham Springs South Fire Station,,,LA,Livingston Parish,,No,,15229,Amite,16883,129,1,2,Mud line inside of building transferred outside to front door with carpenter level.,30,-90.94872,9/1/2016 5:00:00 AM,38.023,2,2,N/A,,4,4.47,1,,Used elevation from TBM to run levels to HWM to gain elevation.,Riverine,8/25/2016 5:00:00 AM,0,2,1585,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Arthur Day,Oran Mosteller,LALIV16884,Nail on right brick post at the entrance of Harrell's Ferry Landing neighborhood.,,,LA,Livingston Parish,,No,,15232,Amite River,16884,129,5,3,,30.41801,-90.95022,8/28/2016 4:00:00 AM,35.568,2,6,N/A,,6,4.87,1,,"Job name: LA-6-08282016
Checked in on 46DE12",Riverine,8/25/2016 4:00:00 AM,1,2,1587,1596,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Marker,Handheld GPS,local control point,Daniel McCay,Jeffrey Moss,LALIV16886,Denham Springs Wastewater Treatment Plant. Seed line on generator.,,,LA,Livingston Parish,,No,,15234,Amite River (Grays Creek),16886,129,5,1,Wastewater treatment plant. Generator next to central office. Marked with sharpie and flagging.,30.453911,-90.933992,9/1/2016 5:00:00 AM,,,,Right,,4,,1,,Abandoned site. Site is clustered too close to other sites.,Riverine,8/25/2016 5:00:00 AM,1,1,1591,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,,Marker,Handheld GPS,NAD83,Kelvey Merrill,Matthew Jennings,LALIV16887,"Sunoco gas station, intersection of James Chapel Rd. and LA 441. Seed Line on side of building facing LA 441. Marked with Sharpie.",,,LA,Livingston Parish,,No,,15236,Cat Branch,16887,129,5,2,"Sunoco gas station at intersection of LA 441 and James Chapel : corner of building facing LA 441, marked with sharpie and flagging.",30.47956,-90.64419,9/1/2016 5:00:00 AM,35.6755,2,6,N/A,,4,5.95,1,,Clear conditions. Clamped a wood stake to vertical steel pole and leveled with a line level about 10 feet. Held the RTK on the wood stake,Riverine,8/25/2016 5:00:00 AM,1,2,1602,1593,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,,,,Nail and HWM tag,Handheld GPS,NAD83,Jeffrey Moss,Jeffrey Moss,LAEAS16889,House is on Frenchtown Rd beside beaver bayou.  Mark is green USGS HWM disc near ceiling of front porch.,,,LA,East Baton Rouge Parish,,No,,15241,Beaver Creek,16889,129,5,1,House on right bank of beaver creek downstream side of bridge.,30.49779,-91.01759,,,,,Right,,6,8.06,1,,,Riverine,8/25/2016 5:00:00 AM,0,2,1595,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,,Nail and HWM tag,Handheld GPS,NAD83,Jaysson Funkhouser,Jeffrey Moss,LALIV16890,Denham Springs Wastewater Treatment Plant,,,LA,Livingston Parish,,No,,15242,Amite,16890,129,5,2,"First 5"" cypress tree from the fence in front lawn of treatment plant. HWM-A",30.45544,-90.93372,9/1/2016 5:00:00 AM,38.69,2,2,N/A,,6,5.4,1,,Used TBM and levels to obtain elevation. HWMA,Riverine,8/25/2016 5:00:00 AM,0,2,1585,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,,Nail and HWM tag,Handheld GPS,NAD83,Jaysson Funkhouser,Jeffrey Moss,LALIV16890,Denham Springs Wastewater Treatment Plant,,,LA,Livingston Parish,,No,,15247,Amite,16890,129,5,2,"Second 5"" cypress tree from the fence in front lawn of treatment plant.  Named ""Mark B"".",30.45547,-90.93375,9/1/2016 5:00:00 AM,38.673,2,2,N/A,,6,5.67,1,,Used TBM and levels to obtain elevation. HWMB.,Riverine,8/25/2016 5:00:00 AM,0,2,1585,1595,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Excellent: +/- 0.05 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Skylar McHenry,Skylar McHenry,LALIV16892,Private Residence,,,LA,Livingston Parish,,No,Homeowner not home at time of visit,15250,Tickfaw,16892,129,5,1,Mark on shed behind residence.,30.60693,-90.60757,9/1/2016 4:00:00 AM,76.559,2,6,N/A,,6,3.32,1,,"Job name LA-5-09012016 
Point: LALIV17104a1/b1
Checked in @: 46BC34
GPS control in EST",Riverine,8/25/2016 4:00:00 AM,0,2,1590,1590,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
Louisiana August 2016,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,,Nail and HWM tag,Handheld GPS,NAD83,Kelvey Merrill,Matthew Jennings,LALIV16893,Back corner of fence facing street. Marked with a nail and white HWM tab.,,,LA,Livingston Parish,,No,,15248,Cat Branch,16893,129,5,3,"Corner of back fence, facing street. Marked with nail and HWM tab.",30.47742,-90.62887,9/1/2016 5:00:00 AM,35.1505,2,6,N/A,,6,3.05,1,,Used a level line out to stake for the GPS. Difference between shots was 0.035ft.,Riverine,8/25/2016 5:00:00 AM,1,2,1602,1593,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,,,
